GRBname,Trig_ID,T90,T90_err,redshift,z_err,conversion
GRB180805B,851855.0,122.24,18.01056,,,3.3399999999999996e-11
GRB180805A,851829.0,1.676,0.4088031,,,4.469999999999999e-11
GRB180728A,850471.0,8.684,0.2973214,0.117,,4.73e-11
GRB180727A,850231.0,1.056,0.2291201,,,3.97e-11
GRB180721A,849018.0,47.6,2.98665,,,3.01e-11
GRB180720C,848932.0,122.988,31.67005,,,6.57e-11
GRB180720B,848890.0,108.4,3.688453,0.654,,3.88e-11
GRB180718A,848489.0,0.08399999,0.02332388,,,
GRB180715A,848048.0,0.684,0.0877269,,,
GRB180709A,846868.0,194.808,31.21534,,,8.81e-11
GRB180706A,846395.0,42.444,7.162597,,,3.2e-11
GRB180705A,846299.0,106.784,16.20255,,,4.12e-11
GRB180704A,846088.0,19.656,1.404706,,,4.8899999999999994e-11
GRB180630A,845443.0,18.96,6.314562,,,4.3299999999999995e-11
GRB180626A,844615.0,30.104,1.411388,,,3.6299999999999994e-11
GRB180624A,844192.0,466.652,35.75626,2.855,,3.32e-11
GRB180623A,844015.0,114.88,6.81987,,,9.249999999999999e-11
GRB180620B,843211.0,223.968,26.13269,1.1175,,3.6499999999999997e-11
GRB180620A,843122.0,22.948,4.987643,<1.2,,4.98e-11
GRB180618A,842475.0,47.424,11.20165,<1.2,,3.28e-11
GRB180614A,841548.0,7.092,0.9411482,,,4.16e-11
GRB180613A,840853.0,50.816,8.359981,,,4.9599999999999995e-11
GRB180602A,835200.0,53.204,10.1975,,,3.9799999999999994e-11
GRB180514A,832368.0,31.16,4.105078,,,3.56e-11
GRB180512A,832119.0,24.0,7.071068,,,5.29e-11
GRB180510B,831816.0,134.016,52.92255,1.305,,3.8199999999999995e-11
GRB180510A,831810.0,64.0,16.0,,,3.84e-11
GRB180504A,830822.0,115.264,48.69505,,,3.72e-11
GRB180425A,828672.0,11.904,2.712271,,,3.3399999999999996e-11
GRB180418A,826428.0,4.408,2.491104,,,3.2999999999999996e-11
GRB180411A,824451.0,77.976,1.006229,,,6.13e-11
GRB180410A,824063.0,114.8,14.42931,,,6.219999999999999e-11
GRB180407A,823001.0,100.628,33.93973,,,
GRB180404B,821902.0,111.708,6.988862,,,3.87e-11
GRB180404A,821881.0,36.28,5.351026,1.000,,3.6899999999999997e-11
GRB180402A,821103.0,0.1799999,0.0312411,,,6.009999999999999e-11
GRB180331B,820513.0,78.032,4.738945,,,3.72e-11
GRB180331A,820347.0,48.0,22.62742,,,
GRB180329B,819490.0,213.536,49.42257,1.998,,3.58e-11
GRB180329A,819301.0,36.0,7.28011,,,
GRB180325A,817564.0,92.828,1.519991,2.25,,3.6899999999999997e-11
GRB180324A,817345.0,7.216,1.302287,,,6.91e-11
GRB180316A,814677.0,87.0,20.59126,,,3.84e-11
GRB180314B,814305.0,55.424,6.539602,,,5.0799999999999995e-11
GRB180314A,814129.0,50.464,21.83587,1.445,,3.8999999999999995e-11
