grb_name,flare_num,t_start,t_peak,t_stop,par_t_start,par_rise,par_decay,par_amp,par_t_start_err,par_rise_err,par_decay_err,par_amp_err,fluence_tot,fluence_rise,fluence_decay,peak_flux,peak_flux_err,redshift,conversion,t_rise,t_decay,t_wait,duration,d_l,e_iso,L_p,L_iso
GRB111109A,1,599.461,853.482,1968.88,599.4507215641146,386.7333720171304,473.6827639291757,0.3615920810098939,587.2393043306549,1966.3024596130983,716.3298108973935,0.6866140736976003,3.861263068099339e-09,3.4410763491104756e-10,3.517155433188291e-09,4.31529439e-11,9.22714466e-12,,3.53e-11,254.02099999999996,1115.3980000000001,,1369.419,,,,
GRB091104A,1,356.385,378.474,383.364,347.27864225652235,117.6481324127576,5.24421662991627,0.0006849541588049,2.467213416309536,41.9992197527032,0.797648235764457,0.0061125272305255,0.0,0.0,0.0,0.0,0.0,,0.0,22.089,4.889999999999986,,26.978999999999985,,,,
GRB091104A,2,383.364,409.701,416.76,365.6786686132433,236.29498677102092,5.358718215274435,4.8165012778415785e-11,0.654412180392809,0.0,0.2056527975681706,6.846474171574809e-11,0.0,0.0,0.0,0.0,0.0,,0.0,26.337000000000046,7.058999999999969,26.978999999999985,33.396000000000015,,,,
GRB070103A,1,214.671,270.285,409.556,228.20760461040288,93.72537815841105,35.03952692590848,24.748006097849792,11.886869416857827,63.35511509325751,6.432976355778799,22.046662186409268,0.0,0.0,0.0,0.0,0.0,,0.0,55.61400000000003,139.27099999999996,,194.885,,,,
GRB081105A,1,89.309,101.01,109.285,97.2256558844437,27.781770723863342,0.5277681459115702,8.94774748495859e-16,0.0,0.0,0.0,9.217271190178257e-18,2.2042600655723815e-09,8.387753858380404e-10,1.3654846797343413e-09,2.0415840509999997e-09,3.04343863e-10,,2.63e-11,11.701000000000008,8.274999999999991,,19.976,,,,
GRB081105A,2,153.453,169.332,177.957,145.02160260903622,152.30222482567476,3.505825836387229,1.5363545028160665e-12,1.4259983945220125,0.0,0.4167466766047379,6.658367781239965e-12,7.806142181579683e-09,4.2810531582368395e-09,3.5250890233428425e-09,1.093345967e-09,1.661021736e-10,,2.63e-11,15.87899999999999,8.625,64.144,24.50399999999999,,,,
GRB060714A,1,119.669,134.034,154.119,119.95286283394846,17.08997238949966,8.940619017608595,292.8325210324672,2641.227774873768,12.47723791893237,17.573158224546773,957.6374658773414,0.0,0.0,0.0,0.0,0.0,,0.0,14.364999999999995,20.085000000000008,,34.45,,,,
GRB080810A,1,575.182,599.578,626.758,574.1999499434348,9.38456219727374,20.548194021315062,9.277552902451644,5.303500278721379,12.64495064358331,5.715980265672471,3.035887263227961,0.0,0.0,0.0,0.0,0.0,,0.0,24.395999999999958,27.180000000000064,,51.57600000000002,,,,
GRB080804A,1,105.064,139.684,158.291,114.76587054491584,157.17677742579406,3.4529634217340472,7.706274779830232e-13,0.4744598904666793,0.0,0.134567458958835,1.1505923105547373e-12,0.0,0.0,0.0,0.0,0.0,,0.0,34.620000000000005,18.607,,53.227000000000004,,,,
GRB080804A,2,199.494,218.039,237.431,209.5721460223073,53.49921339879271,1.18829403725,2.33526848669541e-13,0.6226592114743255,0.0,0.174417319734651,1.3002477849082745e-12,0.0,0.0,0.0,0.0,0.0,,0.0,18.544999999999987,19.392000000000024,94.43,37.93700000000001,,,,
GRB080804A,3,356.883,380.457,446.802,324.1661890269635,348.32786514104464,11.124636719194664,1.370982952564915e-08,21.31351649056988,364.8234061110381,3.621786726261544,4.816741119891393e-07,0.0,0.0,0.0,0.0,0.0,,0.0,23.574000000000012,66.34500000000003,157.38899999999998,89.91900000000004,,,,
GRB060728A,1,145.087,154.58,163.87,134.19591440322822,127.34265688091264,2.9600011229785554,1.6267505234324412e-11,0.369192186309807,0.0,0.1595549580634487,3.1778255826738517e-11,0.0,0.0,0.0,0.0,0.0,,0.0,9.493000000000023,9.289999999999992,,18.783000000000015,,,,
GRB050826A,1,312.517,399.389,516.116,390.71280053395606,0.0009476404087009,62.10706655573404,10.290893776265278,203382405.80218044,264.7927245733411,33412.42995192209,3465876.517152009,0.0,0.0,0.0,0.0,0.0,,0.0,86.87200000000001,116.72699999999998,,203.599,,,,
GRB080408A,1,1108.919,1132.184,1141.362,1127.0851735969554,35.89873627056166,0.7304827598060909,6.860941872563631e-15,0.4806426855187467,0.0,0.1232033514231344,4.837631855527463e-14,0.0,0.0,0.0,0.0,0.0,,0.0,23.264999999999873,9.178000000000111,,32.442999999999984,,,,
GRB080408A,2,1294.667,1310.31,1324.275,1305.6037561933158,29.87946300386284,0.6740076986229456,3.6775091453028603e-13,0.7668957196541323,0.0,0.2155873456284829,4.391944576584169e-12,0.0,0.0,0.0,0.0,0.0,,0.0,15.643000000000029,13.965000000000146,185.74799999999982,29.608000000000175,,,,
GRB101020A,1,95.3828468307271,114.171,129.286,95.17961647417836,2.346221363340465,8.4406353934944,67.11789930785994,1.2195360564142592,2.8574265434783137,2.6357791813306224,31.89162260292082,0.0,0.0,0.0,0.0,0.0,,0.0,18.788153169272903,15.114999999999995,,33.9031531692729,,,,
GRB101020A,2,164.527,166.649,175.389,165.62416446844824,1.1028449824893,0.0461514060515996,42.17884163472293,814774.2583208522,2157916.4294495205,760479.2377722776,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.122000000000014,8.740000000000009,69.14415316927288,10.862000000000023,,,,
